0.12091,-0.22483,0.31139,0.49392,0.14467,-0.32765,0.17778,0.12261,0.00000,-0.39541,0.00000
0.14651,-0.24659,0.31441,0.32372,0.12480,-0.40781,0.02906,0.11372,0.00000,-0.44049,0.00000
-0.03748,-0.33430,0.07715,0.34934,-0.01807,-0.51707,-0.05075,0.04438,0.00000,-0.54403,0.00000
0.02845,-0.35412,0.14272,0.32830,0.06787,-0.41249,-0.10024,0.02945,0.00000,-0.29971,0.00000
0.06972,-0.28843,0.16077,0.24328,0.06853,-0.31731,0.05894,0.03079,0.00000,-0.20390,0.00000
0.05996,-0.22382,0.28706,0.20173,0.05439,-0.18193,0.06974,0.05420,0.00000,0.04191,0.00000
0.09291,-0.24246,0.22716,0.29070,0.02558,-0.12415,0.08174,0.04425,0.00000,-0.01112,0.00000
0.16496,-0.21817,0.16245,0.22354,-0.01470,-0.13685,0.03282,0.04129,0.00000,-0.10957,0.00000
0.12735,-0.09719,0.20659,0.23545,0.03898,0.17094,0.28185,0.08022,0.00000,-0.00366,0.00000
0.17324,-0.09751,0.29377,0.33712,0.02248,0.30281,0.32793,0.05757,0.00000,-0.03000,0.00000
0.07512,-0.13621,0.21641,0.28417,-0.04028,0.05896,-0.03369,0.00519,0.00000,-0.18434,0.00000
0.05114,-0.19921,0.15632,0.18982,-0.04774,-0.05096,-0.27770,-0.00643,0.00000,-0.22160,0.00000
-0.05640,-0.23800,0.04187,-0.00443,-0.03138,0.01495,-0.25899,-0.03416,0.00000,-0.32141,0.00000
-0.10788,-0.30066,0.00770,0.12293,-0.02514,-0.03562,-0.13533,-0.04211,0.00000,-0.26765,0.00000
-0.08382,-0.19679,0.13201,0.16649,0.07114,0.01242,-0.14245,0.00374,0.00000,-0.20461,0.00000
-0.00233,-0.17805,0.07733,0.05759,0.07701,-0.11799,-0.16946,0.01682,0.00000,-0.23988,0.00000
0.01096,-0.19176,0.03869,0.05782,0.04677,-0.14614,-0.23850,-0.00034,0.00000,-0.23886,0.00000
-0.05497,-0.26412,-0.01071,0.05801,0.02062,-0.22900,-0.31509,-0.02836,0.00000,-0.33189,0.00000
-0.04022,-0.25624,-0.05472,0.07441,0.01482,-0.23696,-0.30073,-0.03815,0.00000,-0.32109,0.00000
-0.17759,-0.34651,-0.10688,0.02016,0.01578,-0.25822,-0.33585,-0.08892,0.00000,-0.30186,0.00000
-0.23144,-0.38186,-0.11692,-0.05329,-0.07772,-0.34871,-0.36575,-0.12688,0.00000,-0.33269,0.00000
-0.16471,-0.34247,-0.09734,-0.11346,-0.08465,-0.24077,-0.29000,-0.09057,0.00000,-0.28712,0.00000
-0.12364,-0.30867,-0.07116,-0.08018,-0.05794,-0.09874,-0.13676,-0.05993,0.00000,-0.01960,0.00000
-0.05210,-0.17557,-0.00767,0.04133,0.02507,0.07992,0.11778,-0.02018,0.00000,0.25832,0.00000
0.01541,-0.04337,0.12171,0.36593,0.11872,0.29896,0.11788,0.04536,0.00000,0.61989,0.00000
